id,return_id,issue_date,resolve_date,complaint
4f1225c9-c52f-4c6d-96f1-56c81497c039,a0c66209-1ba1-4626-af16-08f596eb609e,2021-03-24 00:00:00,2021-03-25 00:00:00,50 zaburzenie kość zima lecieć.
78a9636c-2a8c-429d-813e-3d975c555916,9a2ccfd3-254f-4b10-a63a-b524746edb55,2022-09-01 00:00:00,2022-09-11 00:00:00,Koszula dawno pomieszczenie krótki.
af73342d-05d9-403a-a0f0-3b3200ff5da8,4b644c06-ef78-4738-ae82-47ad67ce9dbb,2023-09-04 00:00:00,2023-09-09 00:00:00,W Kształcie zaczynać temat graniczyć.
fad58868-e81d-426d-b08f-5d444f6c486f,cae8b3c3-3159-41a5-9775-6c32f4ae42b0,2022-06-10 00:00:00,2022-06-15 00:00:00,Niemiecki węgiel sprzedawać umiejętność tak.
42535635-d9cc-4514-a93b-d8ce8e98d02c,61384b8a-22db-440b-8f6d-4a6f41b3b645,2023-07-08 00:00:00,2023-07-12 00:00:00,Ziemniak litera mebel podnieść Niemcy.
b87db221-f8f0-48e5-837a-55f6de788f03,6f1e01ca-5895-4866-a2ae-05c7f1d057a6,2023-12-13 00:00:00,2023-12-17 00:00:00,Owad męski instytucja tytuł pieniądz.
cdd13463-1392-4d8d-b7a6-24a0ea92617f,466fc98b-dc7d-4efe-a680-b440e240ab89,2023-11-24 00:00:00,2023-12-01 00:00:00,Sądowy zabawa że Polska ludzki sylaba.
218416cc-b1b4-4380-b269-e89cec69b1a1,31a824f5-9305-4efb-a6b7-3def393f5464,2023-10-18 00:00:00,2023-10-21 00:00:00,Wywołać fabryka graniczyć nauczycielka partia chodzić wpaść.
de8811d7-71ae-404a-89bf-4d01f8358d23,4cf277ff-ef16-4382-bc9d-6ef006573026,2023-09-19 00:00:00,2023-09-20 00:00:00,Poprzedni kwiecień ciemny studiować ubranie Słowacja.
69cd0f49-58e0-4ed7-82c7-ffafb7e805d7,4a004e3e-f40c-42fa-963d-c14fce577463,2022-01-04 00:00:00,2022-01-05 00:00:00,Miara bawić się pół charakterystyczny płyn rozmiar.
6845443e-9aa5-4641-ac92-02f8e8ef143d,c82a4d72-c894-4492-bbf5-da34c8f43e14,2022-07-31 00:00:00,2022-08-02 00:00:00,Urodzenie dźwięk papier wywoływać.
f6620001-570c-4006-98ee-63d65a2e12a6,145ca2d7-10b9-4286-b0da-c2c48e2c09a2,2023-02-15 00:00:00,2023-02-23 00:00:00,Posługiwać Się gotowy bogaty wszyscy okolica.
83a538c9-6908-4712-bc0b-92a3bb891163,943b22a3-4d53-4b05-a037-4d7989394c9e,2022-05-02 00:00:00,2022-05-06 00:00:00,Zamiast ani Pan.
45df538d-2253-43d6-9374-274f553ed891,14f28e72-1c34-4ef8-9e9b-9bbb67842851,2023-05-20 00:00:00,2023-05-29 00:00:00,Świeży taniec ile koszt dwudziesty.
788413e7-78cb-44ae-97f9-453746cb5062,eee4210a-f9bf-4e54-a7d9-35e712a332d8,2021-12-10 00:00:00,2021-12-12 00:00:00,Metr elektryczny ja metr energia brzuch moc szkodliwy.
09c1a4bc-da94-427b-99a2-cb0eb2c67558,67a129ac-f321-42cf-857c-c2b31f4990e2,2022-11-04 00:00:00,2022-11-05 00:00:00,By niektóry dać się czeski może wnętrze przejaw.
70edfb2d-d329-498d-b4af-d19cd280f904,9865174c-b2cc-44d1-a6ea-0466c872549b,2022-01-30 00:00:00,2022-02-07 00:00:00,Przyjemność niezwykły interes odbywać się reguła wyścig.
f5487351-4a1b-440e-b438-b77756e20156,145ca2d7-10b9-4286-b0da-c2c48e2c09a2,2021-12-04 00:00:00,2021-12-09 00:00:00,Prawda wino nie właśnie.
4f20121b-12e5-48c9-8822-a0676263d6c4,31a824f5-9305-4efb-a6b7-3def393f5464,2022-06-06 00:00:00,2022-06-09 00:00:00,Jajo pani impreza zgromadzenie przyjąć cmentarz tkanina.
d9d8c941-ee72-456e-bebd-59852269290c,34e5f659-eeae-4ab4-968c-e531e0e0acc5,2023-08-15 00:00:00,2023-08-19 00:00:00,Sygnał przynosić społeczny mocny użycie.
d92a1198-4df9-43f9-b2f4-6eb02128773c,03f41d0b-2065-4dfd-9cfb-5378b8d2120b,2021-02-05 00:00:00,2021-02-10 00:00:00,Zamiast obiad malować wprowadzać 80 aby technika telefon.
23841d21-ab38-41c8-b616-5a16aded39a5,050bd096-58ea-45b8-b55e-425164aeffdd,2023-03-24 00:00:00,2023-03-25 00:00:00,Przedstawiciel zegar ryzyko okolica.
