id,product_id,status,employee_id,company_cost,description,processing_started,processing_finished
ed6640c6-e62a-4367-8b04-459417cea57c,a0ae6282-8552-45c0-9828-77085af77c32,Pending,d64ff1a8-0ef8-4895-9a08-2ffb1290bfb4,2112.11,Wakacje jeszcze pojawić się podróż talerz minuskuła.,2000-03-06 00:00:00,
bcbefef0-9afc-446c-b512-f7e258b4a1bd,0e60d0da-f092-41a3-b1a8-ee8515a8aeab,In Progress,6bd6f828-31ff-4dc5-9a33-3c0d02ea53a1,1596.79,Dziewięć kult np. długo rolnik królewski.,2001-11-24 00:00:00,
1c944037-c9a1-4c45-9e0e-73b00674f48c,42a9ebaf-2f2d-4249-8f86-f7239c22e1df,Pending,601fd7da-4b6b-44ab-883d-8a650243bb3d,4699.31,Jednostka przyszłość w wyniku wejść powstać.,2013-08-15 00:00:00,
3afbd3ee-43ef-4c5c-ac35-647b4084e31b,03cd9edc-f517-4a36-a158-70b7967ec897,Completed,ab2656c1-5158-4fdb-9859-c77546923082,2041.01,Po Prostu uczyć się kierowca klucz.,2011-12-28 00:00:00,2012-01-02 00:00:00
5f66951a-e43e-479d-88c7-19fba6365e07,d7fb10ea-6fe2-4a70-b84c-7c8ea350be60,Pending,8f9f76f1-cd5f-409c-b041-34bd85cb91c2,376.64,Dziki księżyc rasa butelka doskonały.,2011-12-08 00:00:00,
65f32b41-c071-487e-a83b-62e87946d74b,fdec3994-b069-42b5-a0ad-234957f2db4d,Pending,dc95446a-93ef-4893-83df-11068210d751,1455.32,Podawać większy policzek Słowacja.,2007-05-03 00:00:00,
6ade46b9-8974-4c7e-b124-b8829c424c30,9c939307-a808-4bb7-b639-167c9d35f9f9,Completed,97c8d2ca-99d5-405b-a309-16777d813d04,3923.2,Związać organizm litera dzień aż wypadek cecha.,2012-12-28 00:00:00,2013-01-01 00:00:00
bbf88f94-5c4a-43cc-9965-a6a60722b081,3d43779a-8b65-413b-ab4c-e3d2988b7d99,In Progress,440eaca0-b3f3-46ac-8617-9705d3ffa6d5,4876.83,Zachowanie dokładnie 30 luty.,2023-08-21 00:00:00,
e9a4389d-5262-4002-98f9-179761caf84e,31868617-d22d-41a0-9c0b-c324ef323bd6,Pending,8c79afb8-db50-4535-9e94-f48490869239,1604.21,Sto bardzo miły ciekawy ludność.,2012-08-26 00:00:00,
cd452820-f59b-482c-9258-974e61cfc356,add17848-9560-4491-b9fb-1ca926c7787c,In Progress,8fc3efab-ef7c-414b-920a-2a2ea4aeb571,857.76,Osiemdziesiąt prawny stworzyć zmęczony zespół.,2018-06-21 00:00:00,
182c8442-3657-4de0-a1e8-d7332771f4b7,08c3b3e4-b24d-4192-a06c-33a5be8b40a8,Pending,6a83415a-ba2e-4efa-9220-402ee964f3eb,1933.36,Pełen 80 rodzina głód dokonać nasiono.,2022-10-01 00:00:00,
ecbf580e-0cc0-4c32-bd71-993bf973e378,cba59041-a5d9-4e0b-bfbd-2f793facb143,Completed,97c8d2ca-99d5-405b-a309-16777d813d04,4090.77,Tłum więc otoczenie w celu niebo rozmawiać.,2018-01-14 00:00:00,2018-01-20 00:00:00
b0d8bc8d-38ff-433d-a5ab-651151278f66,1c21635f-7022-4cef-a6b1-89f23214b9e5,Completed,6bd6f828-31ff-4dc5-9a33-3c0d02ea53a1,4633.39,Fabryka nie żeby gmina chociaż korzystać św..,2002-06-03 00:00:00,2002-06-07 00:00:00
079aa718-7c5e-4f6a-b79b-0cd5a0002c67,c2b1a504-7cb1-44c8-8bed-b9ed75b05f1d,In Progress,361bc1df-bbbb-4afc-9452-e167f52f5d71,2842.82,Sądowy zająć wojenny słodki strumień.,2001-08-28 00:00:00,
30d1cc85-176c-4f86-a4ec-75d154116232,af37d3f1-c437-423f-b528-983a4ec98315,Canceled,1664d2cd-e0e3-4ab6-9ae3-8d6853f31b01,204.73,Świątynia 50 gniew.,2016-06-29 00:00:00,
0447481b-fba5-4943-857a-5092d6d7c495,01906035-3fb3-4155-8682-c463151dfbea,Canceled,97c8d2ca-99d5-405b-a309-16777d813d04,4385.49,Swój zwyczaj mebel waga dom umożliwiać.,2020-08-01 00:00:00,
234527d0-eda9-42d5-8b44-c6f0cc69947e,710c0941-d770-41fb-856d-fa4520756581,Pending,24bf1b65-db7b-45d0-8662-e54ca85548d4,1655.75,We terytorium srebrny tor miesiąc.,2020-01-08 00:00:00,
fc54097c-2271-4840-963c-2e84aee26a9f,ab9cfce4-599a-4573-8e85-a9208e2e4407,Canceled,4f1adab5-99a1-42c1-9672-23d90719ab22,1895.73,Atak delikatny zaufanie jutro głupota.,2020-11-13 00:00:00,
61b5193e-b913-4d23-8592-307dd1e01cb0,b860a801-f1c1-4730-adad-1632024acedf,In Progress,24bf1b65-db7b-45d0-8662-e54ca85548d4,3369.72,Nieszczęście pytać znaczyć sprzęt.,2015-10-05 00:00:00,
22a38639-7c63-4df7-bd4a-b0c55484db87,5f885dda-c66c-407d-a8ea-6b90a4c0e8bf,Pending,bde341e7-9c08-43d2-8c12-224aa8b1fd22,3830.06,Słuchać styl egzamin tablica zarówno letni.,2023-09-23 00:00:00,
792bd08d-3bc8-4676-96e6-091540aab8d0,6beaf6ba-ab43-43e7-9c9e-d034c0e3d2a0,Canceled,ab2656c1-5158-4fdb-9859-c77546923082,2555.67,Czyjś oraz dopiero słyszeć bliski.,2005-02-05 00:00:00,
c8040d88-bae2-4cfa-bbfe-4be1cabed69c,40d3e82c-cd21-46d3-9569-ba6d0e1f58ff,Pending,69ae952f-b858-4c5d-afe6-b223586a5960,982.71,Plaża usługa zamiast towar drobny model brat.,2022-09-28 00:00:00,
70a3eae4-1816-463f-94c5-165fbe48a8c4,e9be34fd-cc31-4656-8e80-37a8deec4083,Pending,440eaca0-b3f3-46ac-8617-9705d3ffa6d5,3122.2,Lubić przemysł kilka także.,2007-07-05 00:00:00,
13f5944f-cacf-4cfc-bbb4-8dd05b63fb9f,84ae992a-2308-4f5a-9728-6af31474da4e,Pending,efe4c002-b0f6-4b8a-bc8a-1c08bfe1725e,2657.94,Zajmować zapach konflikt motyl środek stawiać.,2001-01-26 00:00:00,
08d51d50-f8de-4b37-bc83-287cf3416f6b,2bd00252-661c-4a2d-a9de-ba6c5547f2b8,Pending,051b8572-eee7-473b-bff5-e3461a8f94fb,2226.96,Mysz za pomocą środkowy transport klub.,2015-11-04 00:00:00,
9c3a73e1-bcbb-4585-b581-48302bed36e7,3577052d-7fbb-4f3b-b074-26f61f555453,Pending,0cfa40e6-32c5-4cea-8266-2511091cf906,3177.44,Kolej banknot liczba organizacja.,2004-12-25 00:00:00,
28c14ba0-1a9e-42f7-84b7-7a69c43ff0e1,f2b2ec74-290a-4787-9e08-73d425ca9552,Pending,69ae952f-b858-4c5d-afe6-b223586a5960,4871.82,Pokój siebie jesień wokół wpaść bliski własność.,2002-08-08 00:00:00,
c34fb4be-7968-46d6-bd02-b993153d17d5,c8f2b5a6-7c82-4185-af6e-480ddf095070,Completed,601fd7da-4b6b-44ab-883d-8a650243bb3d,3300.43,Nad pijany piłka nożna ciągle osobisty.,2001-05-16 00:00:00,2001-06-04 00:00:00
e7a394c5-e732-41eb-a9ed-09b40de35b15,84ae992a-2308-4f5a-9728-6af31474da4e,Completed,f5c0fdec-9cb7-4829-8bce-5874213611bc,1841.54,Oddawać zarówno ciemny.,2016-10-01 00:00:00,2016-10-03 00:00:00
d8e161c1-5195-4956-949f-984898cd104e,1c21635f-7022-4cef-a6b1-89f23214b9e5,In Progress,34bc9962-1e02-4ea5-956c-897f2dde53e6,3519.32,Stosować zdarzenie kapelusz warstwa ksiądz Holandia.,2021-01-13 00:00:00,
298ef5c7-f953-4574-88f1-b4499185c549,60effb94-fdff-4044-b387-82ec59e96e63,In Progress,f317a244-1b65-43b0-bff9-140a228b523f,2456.75,Wóz ? odważny.,2006-08-08 00:00:00,
32bab952-4acd-4fca-bd5b-d2ff4ffd9da6,111e9a11-7abe-4ee5-8881-5a8915b9e8c9,Completed,6431a2c9-806d-4d68-ac89-be8f8692183e,1959.76,Usługa natychmiast 0 Polska powstać.,2007-11-10 00:00:00,2007-11-16 00:00:00
a0cf2a04-a7fb-4b4d-9361-d61e4d0195b7,c85c26e6-df10-4ed2-b7a7-63c2b71ee720,Canceled,dbdea171-f32c-4397-9d4b-a4edacdb4dd5,1425.47,Wszyscy dwadzieścia wilk całkiem majątek.,2020-09-20 00:00:00,
02e3f8b8-93fa-4bf0-a76a-6641b71ec5cd,c086a895-16b9-4150-abfc-51b2ae6044d0,Canceled,34bc9962-1e02-4ea5-956c-897f2dde53e6,3805.63,Nazwa lustro padać długi ale.,2014-07-13 00:00:00,
0952ac3e-7280-4764-8f5c-df66a46cc2e2,cba59041-a5d9-4e0b-bfbd-2f793facb143,In Progress,2ad5dc01-1054-4d30-857b-d1271a4038bb,1193.84,Sposób ubogi tablica badać cztery mieć na imię zajęcie.,2010-07-31 00:00:00,
